1048990,1154 NUESTRA SEÑORA DEL CARMEN
578351,1156 JOSE SEBASTIAN BARRANCA LOVERA
763771,1157 JULIO CESAR TELLO ROJAS
1579333,11572 - MOCHICA
1398015,11584 ESCUELA CONCERTADA SOLARIS
710111,11589 JUAN VELASCO ALVARADO
1586387,116
703215,116 ABRAHAM VALDELOMAR
578336,1160 JOSE FAUSTINO SANCHEZ CARRION
1347913,11601 OJO DE TORO ALTO
1723063,11624 MARTIR PNP WILLIAMS WILFREDO VALDIVIESO SANTA MARIA
336602,1166 LIBERTADOR SIMON BOLIVAR
1072727,1168 HEROES DEL CENEPA
1501451,117 SIGNOS DE FE
578278,1171 JORGE BASADRE GROHMANN
578559,1173 JULIO CESAR TELLO
555946,1174 VIRGEN DEL CARMEN
336578,1178 JAVIER HERAUD
578443,1179 TOMAS ALVA EDISON
207407,118
1259498,118 VICTOR ALBERTO PEÑA NEYRA
556449,1181 ALBERT EINSTEIN
607697,1182 EL BOSQUE
1070192,1183 SAUL CANTORAL HUAMANI
692707,1188 JUAN PABLO II
582403,1190 FELIPE HUAMAN POMA DE AYALA
705509,1195 CESAR VALLEJO
765412,1197 NICOLAS DE PIEROLA
1332220,1198 LA RIBERA
340299,1199 MRCAL RAMON CASTILLA
1718766,1199 SAN FERNANDO DE RUMICILLO
1008960,1201 PAUL HARRIS
1008564,1204 VILLA JARDIN
765404,1206 DANIEL ALCIDES CARRION
1398148,1207 SAGRADO CORAZON DE JESUS
765305,1208 SAN FRANCISCO DE ASIS
469700,1209 MARISCAL TORIBIO DE LUZURIAGA
762849,121 VIRGEN DE FATIMA
643841,1211 JOSE MARIA ARGUEDAS ALTAMIRANO
650036,1212 GRUMETE MEDINA
1065069,1213
765362,1217 JORGE BASADRE
743831,1218 SAN LUIS MARIA DE MONTFORT
765297,1219 JOSE CARLOS MARIATEGUI
578542,122 ANDRES AVELINO CACERES
692434,1220 SAN JOSE MARELLO
705160,1221 MARIA PARADO DE BELLIDO
1507250,1224
743799,1225 MARIANO MELGAR
765321,1226
650002,1227 INDIRA GANDHI
743807,1228 LEONCIO PRADO
